klas_Id-Length_w	klas_Id-Length_i	klas_STW_w	klas_STW_i	klas_*VVC_w	klas_*VVC_i	en_Id-Length_w	en_Id-Length_i	en_STW_w	en_STW_i	en_*VVC_w	en_*VVC_i	kip_Id-Length_w	kip_Id-Length_i	kip_STW_w	kip_STW_i	kip_*VVC_w	kip_*VVC_i	baas_Id-Length_w	baas_Id-Length_i	baas_STW_w	baas_STW_i	baas_*VVC_w	baas_*VVC_i	poot_Id-Length_w	poot_Id-Length_i	poot_STW_w	poot_STW_i	poot_*VVC_w	poot_*VVC_i	glas_Id-Length_w	glas_Id-Length_i	glas_STW_w	glas_STW_i	glas_*VVC_w	glas_*VVC_i	slot_Id-Length_w	slot_Id-Length_i	slot_STW_w	slot_STW_i	slot_*VVC_w	slot_*VVC_i
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	1	0	0
2.0	2	0	0	0	0	1.96	1	0	0	0	0	1.96	1	0	0	2.01	1	1.96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8699999999999999	1	0	0
2.0199999999999996	2	0	0	0	0	0	0	0	0	0	0	1.95	1	0	0	2.039999999999999	1	1.95	1	0	0	0	0	0	0	1.8699999999999999	1	0	0	0	0	0	0	0	0	0	0	1.99	2	2.039999999999999	1
2.0	3	0	0	0	0	0	0	1.8099999999999998	1	0	0	2.0599999999999987	2	0	0	2.0599999999999987	1	1.96	1	0	0	0	0	0	0	1.8099999999999998	1	0	0	0	0	1.8099999999999998	1	0	0	0	0	1.98	2	2.0599999999999987	1
2.089999999999998	3	0	0	0	0	0	0	1.6999999999999997	1	0	0	2.0599999999999987	2	0	0	2.0799999999999983	1	1.97	1	0	0	0	0	0	0	1.6999999999999997	1	0	0	0	0	1.6999999999999997	1	2.0	3	0	0	1.6999999999999997	1	2.0	2
2.1199999999999974	3	0	0	0	0	0	0	1.6699999999999997	1	0	0	2.089999999999998	2	0	0	2.089999999999998	1	1.98	1	0	0	0	0	0	0	1.6699999999999997	1	0	0	0	0	1.6699999999999997	1	2.089999999999998	1	0	0	1.6699999999999997	1	2.0	2
2.139999999999997	3	0	0	0	0	0	0	1.6999999999999997	1	0	0	2.1099999999999977	2	0	0	2.1099999999999977	1	1.95	1	0	0	0	0	0	0	1.6999999999999997	1	0	0	1.95	1	2.0	2	2.1099999999999977	1	0	0	1.6999999999999997	1	2.039999999999999	2
2.149999999999997	3	0	0	0	0	0	0	0	0	0	0	2.1599999999999966	2	0	0	2.1099999999999977	1	1.91	1	0	0	0	0	0	0	1.6699999999999997	1	0	0	1.91	1	2.049999999999999	2	2.1099999999999977	1	0	0	1.6699999999999997	1	2.1099999999999977	1
2.1599999999999966	3	0	0	0	0	0	0	1.6699999999999997	1	0	0	2.1599999999999966	2	0	0	2.1299999999999972	1	1.89	1	0	0	0	0	0	0	1.6699999999999997	1	0	0	1.89	1	2.0799999999999983	2	2.1299999999999972	1	0	0	1.6699999999999997	1	2.1299999999999972	1
2.1699999999999964	3	0	0	0	0	0	0	1.6999999999999997	1	0	0	2.1699999999999964	2	0	0	2.139999999999997	1	1.88	1	0	0	0	0	0	0	1.6999999999999997	1	0	0	1.88	1	2.089999999999998	2	2.139999999999997	1	0	0	1.6999999999999997	1	2.139999999999997	1
2.189999999999996	3	0	0	0	0	0	0	1.6999999999999997	1	0	0	2.1999999999999957	2	0	0	2.1699999999999964	1	1.8699999999999999	1	0	0	0	0	0	0	1.6999999999999997	1	0	0	1.8699999999999999	1	2.1099999999999977	2	2.1699999999999964	1	0	0	2.1099999999999977	2	2.1699999999999964	1
2.229999999999995	3	0	0	0	0	0	0	1.6899999999999997	1	0	0	2.1999999999999957	2	0	0	2.179999999999996	1	1.8599999999999999	1	0	0	0	0	0	0	1.6899999999999997	1	0	0	1.8599999999999999	1	2.1199999999999974	2	2.179999999999996	1	0	0	2.1199999999999974	2	2.179999999999996	1
2.229999999999995	3	0	0	0	0	0	0	1.7099999999999997	1	0	0	2.2099999999999955	2	0	0	2.1999999999999957	1	1.8599999999999999	1	0	0	0	0	0	0	1.7099999999999997	1	0	0	0	0	1.7099999999999997	1	2.1999999999999957	1	0	0	2.139999999999997	2	2.1999999999999957	1
2.229999999999995	3	0	0	0	0	0	0	1.7499999999999998	1	0	0	2.2099999999999955	2	0	0	2.2099999999999955	1	1.8699999999999999	1	0	0	0	0	0	0	1.7499999999999998	1	0	0	0	0	1.7499999999999998	1	2.2099999999999955	1	0	0	2.1299999999999972	2	2.2099999999999955	1
2.229999999999995	3	0	0	0	0	0	0	1.6999999999999997	1	0	0	2.239999999999995	2	0	0	2.2499999999999947	1	1.8699999999999999	1	0	0	0	0	0	0	1.6999999999999997	1	0	0	0	0	1.6999999999999997	1	2.2499999999999947	1	0	0	2.1099999999999977	2	2.2499999999999947	1
2.239999999999995	3	0	0	0	0	1.7799999999999998	1	1.88	1	0	0	2.0	4	0	0	2.2599999999999945	1	1.7799999999999998	1	0	0	0	0	0	0	1.88	1	0	0	0	0	1.88	1	2.2599999999999945	1	0	0	2.1299999999999972	2	2.2599999999999945	1
2.2499999999999947	3	0	0	0	0	0	0	1.96	1	0	0	2.01	4	0	0	2.2699999999999942	1	2.01	4	0	0	0	0	0	0	1.96	1	0	0	0	0	2.149999999999997	2	2.2699999999999942	1	0	0	2.149999999999997	2	2.2699999999999942	1
2.2699999999999942	3	0	0	0	0	0	0	2.1299999999999972	2	0	0	2.049999999999999	4	0	0	2.279999999999994	1	2.049999999999999	4	0	0	0	0	0	0	1.96	1	0	0	0	0	2.1299999999999972	2	2.279999999999994	1	0	0	1.99	3	2.279999999999994	1
2.289999999999994	3	0	0	0	0	0	0	2.039999999999999	2	0	0	2.1099999999999977	4	0	0	2.3099999999999934	1	2.1099999999999977	4	0	0	0	0	0	0	1.96	1	0	0	0	0	2.039999999999999	2	2.3099999999999934	1	0	0	1.98	3	2.3099999999999934	1
2.289999999999994	3	0	0	0	0	0	0	2.0599999999999987	2	0	0	2.1199999999999974	4	0	0	2.329999999999993	1	2.1199999999999974	4	0	0	0	0	0	0	1.96	1	0	0	1.7199999999999998	1	2.0599999999999987	2	2.329999999999993	1	0	0	1.98	3	2.329999999999993	1
2.289999999999994	3	0	0	0	0	0	0	2.0699999999999985	2	0	0	2.1299999999999972	4	0	0	2.329999999999993	1	2.1299999999999972	4	0	0	0	0	0	0	1.96	1	0	0	1.7099999999999997	1	2.0699999999999985	2	2.329999999999993	1	0	0	1.98	3	2.329999999999993	1
