filetag	runNo	nlexCs	lexCstartW	pChangeIndexation	inputSet	likelihood	SSE	w_ku	w_fi	w_ku_pl	w_fi_pl	predicted_p_fi_wug	experiment_p_fi
2_1_025_50___1	1	2	1	0.25	typeTokenInput_50	-0.01385567493899156	2.163641500475024e-05	0.24	0.32000000000000006	1.08	0	0.2689414213699951	0.5
2_1_001_50___9	9	2	1	0.01	typeTokenInput_50	-0.021151221397287902	6.0777473169443274e-05	1.1300000000000008	1.4500000000000008	4.169999999999955	4.989999999999937	0.7576796390037016	0.5
2_1_01_50___2	2	2	1	0.1	typeTokenInput_50	-0.057018488119293054	0.004338166129421126	0.6100000000000003	0	0	0	0.35205919791934964	0.5
2_1_099_50___5	5	2	1	0.99	typeTokenInput_50	-0.0002769010168717239	6.702283657598457e-09	0.01	0.09	1.01	1.08	0.5374298453437496	0.5
2_1_05_50___1	1	2	1	0.5	typeTokenInput_50	-0.005717314465262851	2.738575462405464e-06	0.12999999999999998	0.12999999999999995	8.369999999999866	8.319999999999867	0.48750260351578995	0.5
2_1_005_50___3	3	2	1	0.05	typeTokenInput_50	-0.04457878548332746	0.0004160177746253282	0.25000000000000006	0.5900000000000003	7.619999999999881	7.339999999999887	0.5149955016194118	0.5
2_1_075_50___1	1	2	1	0.75	typeTokenInput_50	-0.004783726530706107	2.4271899121943556e-06	0	0.22000000000000006	8.559999999999862	8.799999999999857	0.6130141761393344	0.5
2_1_025_50___2	2	2	1	0.25	typeTokenInput_50	-0.011141326731596195	1.2213179247243504e-05	0.5600000000000003	0.4500000000000002	1.11	1.2800000000000002	0.5149955016194101	0.5
2_1_001_50___10	10	2	1	0.01	typeTokenInput_50	-0.04203006995193533	0.00026983733266595596	2.809999999999984	0.4700000000000002	4.709999999999943	6.299999999999909	0.3208213008246032	0.5
2_1_01_50___3	3	2	1	0.1	typeTokenInput_50	-0.17158744783510882	0.03486299147351717	0.11999999999999998	0.8000000000000005	3.019999999999979	3.4699999999999696	0.7558388990947954	0.5
2_1_099_50___6	6	2	1	0.99	typeTokenInput_50	-0.0003262298131669934	8.940151147907262e-09	0.08	0.019999999999999997	11.219999999999805	11.199999999999806	0.48001065984441815	0.5
2_1_05_50___2	2	2	1	0.5	typeTokenInput_50	-0.005021036642572012	2.194581304671651e-06	0.2800000000000001	0.09	8.359999999999866	8.62999999999986	0.5199893401555805	0.5
2_1_075_50___2	2	2	1	0.75	typeTokenInput_50	-0.004597798770946395	1.8298850964681055e-06	0.2700000000000001	0.12999999999999998	1.2400000000000002	1.01	0.40854102156721983	0.5
2_1_005_50___4	4	2	1	0.05	typeTokenInput_50	-0.07764119359001385	0.0028254277669364737	0.1299999999999999	0.6500000000000004	2.8199999999999834	1.4600000000000004	0.3015347839974649	0.5
2_1_025_50___3	3	2	1	0.25	typeTokenInput_50	-0.013333155611651472	1.89573366688664e-05	0.11999999999999995	0.21000000000000002	0.8299999999999998	0	0.32300414376147707	0.5
2_1_001_50___11	11	2	1	0.01	typeTokenInput_50	-0.05324362957720615	0.00045712223028669896	1.9100000000000013	0.9100000000000004	5.709999999999922	6.979999999999895	0.5670929049654475	0.5
2_1_01_50___4	4	2	1	0.1	typeTokenInput_50	-0.08203213241795651	0.0051687252811062675	1.0500000000000007	0.13999999999999996	0	0	0.2869998372477182	0.5
2_1_099_50___7	7	2	1	0.99	typeTokenInput_50	-0.0013255051037012724	1.4670158472057626e-07	0.019999999999999997	0.019999999999999997	0.98	1.05	0.5174928576663896	0.5
2_1_05_50___3	3	2	1	0.5	typeTokenInput_50	-0.0058274754888407035	3.1080641087452405e-06	0.2900000000000001	0.04	8.399999999999865	8.349999999999866	0.4255574831883408	0.5
2_1_075_50___3	3	2	1	0.75	typeTokenInput_50	-0.0040256563394158364	1.3821775153196376e-06	0.12999999999999998	0.09999999999999999	1.3400000000000003	1.2300000000000002	0.46505705484178556	0.5
2_1_005_50___5	5	2	1	0.05	typeTokenInput_50	-0.07656621256001414	0.002216585932864051	0.22999999999999998	0.9700000000000006	4.589999999999946	4.469999999999948	0.6502185485738279	0.5
2_1_025_50___4	4	2	1	0.25	typeTokenInput_50	-0.01627360170983548	3.3655705670253326e-05	0.21999999999999997	0.4900000000000002	0	0.96	0.7738185742694539	0.5
2_1_001_50___12	12	2	1	0.01	typeTokenInput_50	-0.04889097844713545	0.00027743225464344303	0.1299999999999999	1.500000000000001	7.509999999999883	6.759999999999899	0.6502185485738309	0.5
