filetag	runNo	nlexCs	lexCstartW	pChangeIndexation	inputSet	likelihood	SSE	w_ku	w_fi	w_ku_pl	w_fi_pl	predicted_p_fi_wug	experiment_p_fi
2_2_099_50___38	38	2	2	0.99	typeTokenInput_50	-0.02403011024491894	9.42920393296251e-05	0.5400000000000003	0.4000000000000002	5.089999999999934	4.849999999999939	0.5938731029341414	0.5
2_5_001_50___3	3	2	5	0.01	typeTokenInput_50	-0.029006730070184783	0.00012094185393793786	0.03	0.8500000000000005	7.219999999999889	7.519999999999882	0.2460112835510529	0.5
2_2_099_50___5	5	2	2	0.99	typeTokenInput_50	-0.02372153450327384	9.401652915918412e-05	1.2200000000000009	0.04	7.0899999999998915	7.5099999999998825	0.6813537337890275	0.5
12_2_01_50___27	27	12	2	0.1	typeTokenInput_50	-0.023921538549141808	6.892453115669014e-05	0.6400000000000003	0.8400000000000005	5.159999999999933	5.969999999999915	0.2669798507611458	0.5
2_2_001_50___42	42	2	2	0.01	typeTokenInput_50	-0.02896273712736031	0.0001637464549210368	0.7000000000000004	0.15999999999999992	7.069999999999892	7.299999999999887	0.5768852611320476	0.5
2_5_005_50___3	3	2	5	0.05	typeTokenInput_50	-0.13980440239268782	0.0031982346977643566	0.7200000000000004	0.18000000000000002	7.069999999999892	4.539999999999946	0.9556381724108414	0.5
12_2_005_50___24	24	12	2	0.05	typeTokenInput_50	-0.03243343951912741	0.00014797028759385992	0.8000000000000005	0.5300000000000002	4.439999999999948	4.32999999999995	0.5938731029341422	0.5
12_2_005_50___28	28	12	2	0.05	typeTokenInput_50	-0.025780148902567253	0.00016911260431424008	0.08999999999999997	1.2200000000000009	7.489999999999883	7.009999999999893	0.34298953732649873	0.5
2_2_001_50___5	5	2	2	0.01	typeTokenInput_50	-0.016288872892705156	2.209616566485694e-05	0.06999999999999992	0.4700000000000002	7.429999999999884	7.15999999999989	0.46754569361267967	0.5
2_2_099_50___39	39	2	2	0.99	typeTokenInput_50	-0.025237348852615662	6.207648352409822e-05	0.8300000000000005	0.060000000000000005	6.879999999999896	7.249999999999888	0.598687660112454	0.5
2_1_01_37pt5___1	1	2	1	0.1	typeTokenInput_37pt5	-0.014770192051983636	1.8245102790604745e-05	0.4900000000000002	0.33000000000000007	7.319999999999887	7.469999999999883	0.5024999791668758	0.45
2_5_001_50___4	4	2	5	0.01	typeTokenInput_50	-0.022339875854215985	6.0039456046505226e-05	1.400000000000001	0.07999999999999997	4.849999999999939	5.149999999999933	0.7349725994665203	0.5
2_2_099_50___6	6	2	2	0.99	typeTokenInput_50	-0.023386888695420473	8.248980560419478e-05	0.3900000000000001	0.5000000000000002	4.569999999999945	3.739999999999963	0.6726070170677566	0.5
12_2_01_50___28	28	12	2	0.1	typeTokenInput_50	-0.021964445289178382	5.0203481292652976e-05	0.3500000000000001	0.40000000000000013	7.339999999999886	6.939999999999895	0.5866175789173279	0.5
2_2_001_50___43	43	2	2	0.01	typeTokenInput_50	-0.034344528160600414	0.00040016109375527536	0.7300000000000004	0.09	7.069999999999892	7.479999999999883	0.557247854598558	0.5
2_5_005_50___4	4	2	5	0.05	typeTokenInput_50	-0.016460028595782626	2.3029078523869094e-05	0.31000000000000005	0.4800000000000002	7.399999999999885	7.189999999999889	0.5099986668799643	0.5
12_2_005_50___25	25	12	2	0.05	typeTokenInput_50	-0.01978805091097367	3.478492393272202e-05	0.3800000000000001	0.7900000000000005	7.359999999999886	6.909999999999895	0.5099986668799629	0.5
12_2_005_50___29	29	12	2	0.05	typeTokenInput_50	-0.016831739002816194	2.3724336208540167e-05	0.7700000000000005	0.16999999999999998	7.0899999999998915	7.439999999999884	0.5621765008858001	0.5
2_2_099_50___40	40	2	2	0.99	typeTokenInput_50	-0.017531254655956233	2.6276213684715878e-05	0.2700000000000001	0.5700000000000003	7.2799999999998875	7.189999999999889	0.44769209042567426	0.5
2_1_01_37pt5___2	2	2	1	0.1	typeTokenInput_37pt5	-0.020845401717187382	4.213681493815809e-05	0.6000000000000003	0.8500000000000005	5.2599999999999305	6.2899999999999086	0.21755022357689124	0.45
2_2_001_50___6	6	2	2	0.01	typeTokenInput_50	-0.03877936507095771	0.00030356841240558336	1.9300000000000015	0.02	6.589999999999902	7.779999999999877	0.6726070170677665	0.5
2_5_001_50___5	5	2	5	0.01	typeTokenInput_50	-0.017737187973780495	2.6982439519173115e-05	0.8300000000000005	0.15	6.939999999999895	7.5099999999998825	0.5274723043445966	0.5
12_2_01_50___29	29	12	2	0.1	typeTokenInput_50	-0.04395962130251359	0.00041618920323258893	1.2300000000000009	0.24	5.76999999999992	4.719999999999942	0.8849332679544479	0.5
2_2_099_50___7	7	2	2	0.99	typeTokenInput_50	-0.040352267551433826	0.0007943270269109412	0.4900000000000002	0.26	4.489999999999947	5.27999999999993	0.36354745971843766	0.5
2_5_005_50___5	5	2	5	0.05	typeTokenInput_50	-0.01907933204521719	3.0503677817029866e-05	0.25	0.7200000000000004	7.269999999999888	7.009999999999893	0.4476920904256732	0.5
2_2_001_50___44	44	2	2	0.01	typeTokenInput_50	-0.018775629002590055	3.117880074850428e-05	1.1300000000000008	0	4.009999999999957	6.2899999999999086	0.24048908305089794	0.5
12_2_005_50___26	26	12	2	0.05	typeTokenInput_50	-0.03698531824746182	0.0003500003009167626	0.01	0.6500000000000004	6.839999999999897	5.319999999999929	0.7068222210935606	0.5
12_2_005_50___30	30	12	2	0.05	typeTokenInput_50	-0.018058712386286663	3.2649336365697996e-05	0.8700000000000006	0.09999999999999999	7.209999999999889	7.399999999999885	0.6410674063348183	0.5
2_2_099_50___41	41	2	2	0.99	typeTokenInput_50	-0.029225350841481923	9.725596466203564e-05	0.4900000000000002	0.5100000000000002	6.1999999999999105	4.859999999999939	0.7891817065222482	0.5
2_1_01_37pt5___3	3	2	1	0.1	typeTokenInput_37pt5	-0.027795212277975427	0.00012929914670216215	0.15999999999999998	0.6700000000000004	6.349999999999907	4.679999999999943	0.761332714842904	0.45
2_2_001_50___7	7	2	2	0.01	typeTokenInput_50	-0.019715110475068184	3.460768668232403e-05	0.8500000000000005	0.3700000000000001	3.39999999999997	4.609999999999944	0.32519472741769223	0.5
2_5_001_50___6	6	2	5	0.01	typeTokenInput_50	-0.030498289422607388	0.00021164432853006064	1.0400000000000007	0.6200000000000003	7.14999999999989	7.259999999999888	0.5768852611320472	0.5
2_2_099_50___8	8	2	2	0.99	typeTokenInput_50	-0.07401223874128354	0.0036169651669858346	1.0800000000000007	0.37000000000000016	6.639999999999901	7.579999999999881	0.4427521454014496	0.5
12_2_01_50___30	30	12	2	0.1	typeTokenInput_50	-0.025753710579419734	0.00017891237873024919	0.11999999999999995	0.37000000000000016	2.8099999999999827	2.559999999999988	0.4999999999999986	0.5
2_5_005_50___6	6	2	5	0.05	typeTokenInput_50	-0.02189561383041723	5.57439640090054e-05	1.1100000000000008	0.4300000000000002	4.9799999999999365	4.709999999999942	0.7211151780228621	0.5
2_2_001_50___45	45	2	2	0.01	typeTokenInput_50	-0.025170176905368588	0.0002543264847706066	0.6300000000000003	0.5900000000000003	7.389999999999885	7.389999999999885	0.5099986668799658	0.5
12_2_005_50___27	27	12	2	0.05	typeTokenInput_50	-0.03438828379157901	0.00017293477602335579	0.6800000000000004	0.7700000000000005	5.409999999999927	6.959999999999894	0.1624650625807006	0.5
12_2_005_50___31	31	12	2	0.05	typeTokenInput_50	-0.03319592903912969	0.0004868622071053088	1.1200000000000008	0.23000000000000004	4.049999999999956	4.939999999999937	0.5000000000000049	0.5
2_1_01_37pt5___4	4	2	1	0.1	typeTokenInput_37pt5	-0.01745354088270433	3.170932326769018e-05	0.24	0.3500000000000001	4.399999999999949	4.669999999999943	0.40612689706585886	0.45
2_2_099_50___42	42	2	2	0.99	typeTokenInput_50	-0.0432429804052538	0.0007172114948169933	0.9400000000000006	0.05	4.969999999999937	4.939999999999937	0.7150421057009897	0.5
2_2_001_50___8	8	2	2	0.01	typeTokenInput_50	-0.01597601004805454	2.128121978420319e-05	0.8000000000000005	0.060000000000000005	7.079999999999892	7.549999999999882	0.5670929049654571	0.5
2_5_001_50___7	7	2	5	0.01	typeTokenInput_50	-0.028810321022737433	0.00029719679292425404	0.060000000000000005	1.400000000000001	7.64999999999988	6.7599999999998985	0.3893607660507733	0.5
12_2_01_50___31	31	12	2	0.1	typeTokenInput_50	-0.04560140201856322	0.0006849203170831702	0.8800000000000006	0.16999999999999998	4.609999999999944	4.489999999999947	0.6963549298238337	0.5
2_2_099_50___9	9	2	2	0.99	typeTokenInput_50	-0.034557558256185346	0.0001699353744356538	0.9500000000000006	0.24	3.7099999999999635	6.409999999999906	0.12025686246775699	0.5
2_5_005_50___7	7	2	5	0.05	typeTokenInput_50	-0.022092051218725903	0.0001188886918650612	2.099999999999999	0.2900000000000001	6.6899999999999	7.9799999999998725	0.6271477663132017	0.5
2_2_001_50___46	46	2	2	0.01	typeTokenInput_50	-0.03526644267157125	0.00017571987309390147	0.6300000000000003	0.37000000000000016	6.829999999999897	5.239999999999931	0.8641271029909019	0.5
12_2_005_50___32	32	12	2	0.05	typeTokenInput_50	-0.015547596771237765	2.0466702231322743e-05	1.400000000000001	0.18	6.8999999999998956	7.799999999999876	0.5793242521487543	0.5
12_2_005_50___28	28	12	2	0.05	typeTokenInput_50	-0.015923909351622488	2.223924704230683e-05	0.41000000000000014	0.4900000000000002	4.379999999999949	4.249999999999952	0.5124973964842097	0.5
2_1_01_37pt5___5	5	2	1	0.1	typeTokenInput_37pt5	-0.026571209671162582	0.00010428086672739287	0.019999999999999997	1.1000000000000008	6.429999999999906	4.139999999999954	0.7702989490465931	0.45
2_2_001_50___9	9	2	2	0.01	typeTokenInput_50	-0.050587742323551205	0.00039101221974570627	0.4800000000000002	0.25000000000000006	6.829999999999897	4.969999999999937	0.8899274256374932	0.5
2_2_099_50___43	43	2	2	0.99	typeTokenInput_50	-0.02923713992935059	0.00037018014554107063	0.3400000000000001	0.44000000000000017	7.2299999999998885	7.429999999999884	0.4255574831883419	0.5
2_5_001_50___8	8	2	5	0.01	typeTokenInput_50	-0.039097420080010645	0.0005269404059900277	0.44000000000000017	0.43000000000000016	7.099999999999891	7.529999999999882	0.3965167501352761	0.5
2_2_099_50___10	10	2	2	0.99	typeTokenInput_50	-0.02956344817339583	0.00015676837513405313	0.09999999999999996	1.350000000000001	3.179999999999975	3.789999999999962	0.1347030519520295	0.5
12_2_01_50___32	32	12	2	0.1	typeTokenInput_50	-0.0234554532343412	0.00010786599539023954	0.31000000000000005	0.32000000000000006	3.839999999999961	3.779999999999962	0.5124973964842101	0.5
2_5_005_50___8	8	2	5	0.05	typeTokenInput_50	-0.016273074676671113	2.223009688600226e-05	0.8600000000000005	0.3500000000000001	7.099999999999891	7.499999999999883	0.527472304344596	0.5
2_2_001_50___47	47	2	2	0.01	typeTokenInput_50	-0.04655536133950779	0.0005606515159210416	0.5300000000000002	1.0800000000000007	6.969999999999894	7.489999999999883	0.2554030841725262	0.5
12_2_005_50___33	33	12	2	0.05	typeTokenInput_50	-0.029634968699849953	0.00011182732804962635	1.6200000000000012	0	6.889999999999896	7.63999999999988	0.7047456979980945	0.5
12_2_005_50___29	29	12	2	0.05	typeTokenInput_50	-0.030292726655416137	0.00017538688229938257	0.44000000000000017	0.26	6.939999999999895	7.289999999999887	0.45760205922565095	0.5
2_1_01_37pt5___6	6	2	1	0.1	typeTokenInput_37pt5	-0.029557368401491393	0.00018301062458937173	0.7900000000000005	0.19000000000000003	3.839999999999961	4.34999999999995	0.522484824791803	0.45
2_2_001_50___10	10	2	2	0.01	typeTokenInput_50	-0.04932512635183046	0.001294177160469483	1.1900000000000008	0.14999999999999997	6.829999999999897	7.489999999999883	0.5938731029341463	0.5
2_2_099_50___44	44	2	2	0.99	typeTokenInput_50	-0.03333561811503851	0.00031691311516335313	1.430000000000001	0.009999999999999997	6.739999999999899	7.589999999999881	0.6387631751488466	0.5
2_5_001_50___9	9	2	5	0.01	typeTokenInput_50	-0.024449647275031856	9.888871608390804e-05	0.04	0.8800000000000006	6.069999999999913	3.8599999999999604	0.7973801535688618	0.5
2_2_099_50___11	11	2	2	0.99	typeTokenInput_50	-0.03613233155676462	0.0004020197014081142	1.1300000000000008	0.38000000000000017	4.629999999999944	5.049999999999935	0.5817593768418386	0.5
12_2_01_50___33	33	12	2	0.1	typeTokenInput_50	-0.021868132128998317	8.380266403930959e-05	0.7200000000000004	0.19	4.6999999999999424	4.729999999999942	0.6224593312018547	0.5
2_5_005_50___9	9	2	5	0.05	typeTokenInput_50	-0.024941357093006072	6.787609749055943e-05	1.490000000000001	0.049999999999999975	6.839999999999897	7.549999999999882	0.6748052725823173	0.5
2_2_001_50___48	48	2	2	0.01	typeTokenInput_50	-0.021423208844117164	4.747614357841504e-05	0.44000000000000017	0.4500000000000002	5.089999999999934	4.989999999999936	0.5224848247917997	0.5
12_2_005_50___34	34	12	2	0.05	typeTokenInput_50	-0.02820332214571995	0.0001061581089237404	0.09	1.1600000000000008	7.319999999999887	5.319999999999929	0.7170752854929636	0.5
12_2_005_50___30	30	12	2	0.05	typeTokenInput_50	-0.02785368766213519	9.076560989334664e-05	0.7500000000000004	0.09999999999999996	5.149999999999933	5.1199999999999335	0.6637386974043527	0.5
2_2_001_50___11	11	2	2	0.01	typeTokenInput_50	-0.04047816300485649	0.0006076685605745412	0.7800000000000005	0.09	4.079999999999956	4.599999999999945	0.5423979407743539	0.5
2_1_01_37pt5___7	7	2	1	0.1	typeTokenInput_37pt5	-0.030681019324969673	0.00020506885069700653	0.17999999999999994	0.7200000000000004	6.399999999999906	4.609999999999944	0.7772998611746844	0.45
2_2_099_50___45	45	2	2	0.99	typeTokenInput_50	-0.015292563547628675	2.0308820049494967e-05	0.1399999999999999	0.6200000000000003	7.60999999999988	7.14999999999989	0.49500016665999774	0.5
2_5_001_50___10	10	2	5	0.01	typeTokenInput_50	-0.029945251535364568	0.00011626187606049955	0.09999999999999991	0.6400000000000003	4.9799999999999365	3.5799999999999663	0.702660654344725	0.5
12_2_01_50___34	34	12	2	0.1	typeTokenInput_50	-0.023788578490220546	7.072907673269858e-05	0.16	0.6100000000000003	7.119999999999891	7.409999999999885	0.3230041437614781	0.5
2_2_099_50___12	12	2	2	0.99	typeTokenInput_50	-0.024479248763756872	0.000129235203659061	0.9400000000000006	0.32000000000000006	6.9499999999998945	7.439999999999884	0.5324543063873214	0.5
2_5_005_50___10	10	2	5	0.05	typeTokenInput_50	-0.02622917237345916	7.799676249226275e-05	0.6700000000000004	0.21000000000000005	4.989999999999936	4.389999999999949	0.7426905453026833	0.5
12_2_005_50___35	35	12	2	0.05	typeTokenInput_50	-0.019580938592597574	4.836390139827447e-05	0.8100000000000005	1.520000000000001	4.6999999999999424	5.719999999999921	0.15058757974584666	0.5
2_2_001_50___49	49	2	2	0.01	typeTokenInput_50	-0.0277296049005945	0.00025843964371085525	0.15999999999999998	1.0900000000000007	3.929999999999959	3.7599999999999625	0.31864626621097353	0.5
12_2_005_50___31	31	12	2	0.05	typeTokenInput_50	-0.03638486110493501	0.00024498275419813475	1.7900000000000011	0.3000000000000001	4.739999999999942	5.019999999999936	0.7702989490466031	0.5
2_2_001_50___12	12	2	2	0.01	typeTokenInput_50	-0.02531056564960516	7.853778869739874e-05	1.290000000000001	0.03999999999999997	5.189999999999932	7.2299999999998885	0.31216866941716914	0.5
2_1_01_37pt5___8	8	2	1	0.1	typeTokenInput_37pt5	-0.02617696391938773	7.760456287824595e-05	1.0900000000000007	0.3100000000000001	5.249999999999931	4.80999999999994	0.7720635494267821	0.45
2_2_099_50___46	46	2	2	0.99	typeTokenInput_50	-0.11582926656622587	0.002195928208557448	0.23000000000000004	0.8600000000000005	7.669999999999879	4.609999999999944	0.9190865327845299	0.5
2_5_001_50___11	11	2	5	0.01	typeTokenInput_50	-0.0659877140798217	0.0006944837499122747	0.8300000000000005	0.5800000000000003	6.9499999999998945	4.999999999999936	0.9002495108803111	0.5
12_2_01_50___35	35	12	2	0.1	typeTokenInput_50	-0.01878813096807894	2.955747043384758e-05	0.4800000000000002	0.3900000000000001	7.099999999999891	7.209999999999889	0.4950001666600008	0.5
2_2_099_50___13	13	2	2	0.99	typeTokenInput_50	-0.027564653636881764	0.00023214119725633044	0.6400000000000003	0.019999999999999997	7.199999999999889	7.349999999999886	0.6153837563911831	0.5
2_5_005_50___11	11	2	5	0.05	typeTokenInput_50	-0.044814155049704464	0.00026974344278671606	0.9100000000000006	0.31000000000000005	6.6199999999999015	5.309999999999929	0.8710191478537611	0.5
2_2_001_50___50	50	2	2	0.01	typeTokenInput_50	-0.025232009785521353	7.430058632905373e-05	0.7700000000000005	0.6800000000000004	3.8999999999999595	5.999999999999915	0.1181569778092742	0.5
12_2_005_50___36	36	12	2	0.05	typeTokenInput_50	-0.017677853615838894	2.858366475290135e-05	0.24	0.5500000000000003	7.259999999999888	7.269999999999888	0.4206757478512504	0.5
