
1_5.0_05_4pt7_diffMorph___1	1	1	5.0	0.5	typeTokenInput_4pt7_diffMorph	-0.0004929482898404658	2.5913093839312584e-08	0.47000000000000025	0	0.47000000000000025	0	0.38461624360881774	0.03
1_5.0_05_opposing_diffMorph___1	1	1	5.0	0.5	typeTokenInput_opposing_diffMorph	-0.0006744161423250844	4.011609383156659e-08	0.2900000000000001	0.02	0.2900000000000001	0.02	0.4329070950345456	0.41
1_5.0_05_exaggerated_diffMorph___1	1	1	5.0	0.5	typeTokenInput_exaggerated_diffMorph	-0.0008007415873845265	5.743222128514672e-08	0.21000000000000005	0.01	0.21000000000000005	0.01	0.45016600268752205	0.22
1_5.0_05_50_diffMorph___1	1	1	5.0	0.5	typeTokenInput_50_diffMorph	-0.0006125288655512825	3.151703698776242e-08	0.10999999999999999	0.060000000000000005	0.10999999999999999	0.060000000000000005	0.48750260351578967	0.5
1_5.0_05_37pt5_diffMorph___1	1	1	5.0	0.5	typeTokenInput_37pt5_diffMorph	-0.0007352808592557998	4.520810185678934e-08	0.09	0.05	0.09	0.05	0.4900013331200345	0.45
1_5.0_05_25_diffMorph___1	1	1	5.0	0.5	typeTokenInput_25_diffMorph	-0.0006990675769463186	5.379580996179551e-08	0.4000000000000002	0	0.4000000000000002	0	0.401312339887548	0.3
1_5.0_05_12pt5_diffMorph___1	1	1	5.0	0.5	typeTokenInput_12pt5_diffMorph	-0.0005954223944962464	3.093869908800359e-08	0.2900000000000001	0.04	0.2900000000000001	0.04	0.43782349911420193	0.11
1_5.0_05_4pt7_diffMorph___1	1	1	5.0	0.5	typeTokenInput_4pt7_diffMorph	-0.00044872080754779155	2.193547298833263e-08	0.49000000000000027	0	0.49000000000000027	0	0.3798935676569098	0.03
1_5.0_05_opposing_diffMorph___1	1	1	5.0	0.5	typeTokenInput_opposing_diffMorph	-0.0008915085184773927	6.67656707729669e-08	0.25000000000000006	0.09999999999999999	0.25000000000000006	0.09999999999999999	0.46257015465625045	0.41
1_5.0_05_exaggerated_diffMorph___1	1	1	5.0	0.5	typeTokenInput_exaggerated_diffMorph	-0.0007884992347509597	6.711240242712408e-08	0.34000000000000014	0	0.34000000000000014	0	0.41580947706459265	0.22
