
1_5.0_05_4pt7_diffMorph___1	1	1	5.0	0.5	typeTokenInput_4pt7_diffMorph	-0.00047167182558189967	2.2602915284820983e-08	0.46000000000000024	0	0.46000000000000024	0	0.38698582386066444	0.03
1_5.0_05_4pt7_diffMorph___2	2	1	5.0	0.5	typeTokenInput_4pt7_diffMorph	-0.00039505271842768443	1.7805812983527384e-08	0.4300000000000002	0	0.4300000000000002	0	0.3941263315682394	0.03
1_5.0_05_4pt7_diffMorph___3	3	1	5.0	0.5	typeTokenInput_4pt7_diffMorph	-0.00047427475188922737	2.3280484036947196e-08	0.5000000000000002	0	0.5000000000000002	0	0.3775406687981454	0.03
1_5.0_05_opposing_diffMorph___1	1	1	5.0	0.5	typeTokenInput_opposing_diffMorph	-0.0007565456835311083	4.855800815614468e-08	0.24000000000000005	0.10999999999999999	0.24000000000000005	0.10999999999999999	0.4675456936126812	0.41
1_5.0_05_opposing_diffMorph___2	2	1	5.0	0.5	typeTokenInput_opposing_diffMorph	-0.0007320761435477133	4.485729527577688e-08	0.2	0.08	0.2	0.08	0.47003594823542827	0.41
1_5.0_05_opposing_diffMorph___3	3	1	5.0	0.5	typeTokenInput_opposing_diffMorph	-0.0007678899440768889	5.02304907083838e-08	0.22000000000000006	0.019999999999999997	0.22000000000000006	0.019999999999999997	0.4501660026875221	0.41
1_5.0_05_exaggerated_diffMorph___1	1	1	5.0	0.5	typeTokenInput_exaggerated_diffMorph	-0.000745133520369822	5.124732675222837e-08	0.25000000000000006	0.02	0.25000000000000006	0.02	0.4427521454014444	0.22
1_5.0_05_exaggerated_diffMorph___2	2	1	5.0	0.5	typeTokenInput_exaggerated_diffMorph	-0.0006782842233056242	5.925840013650395e-08	0.3900000000000002	0	0.3900000000000002	0	0.40371730070321216	0.22
1_5.0_05_exaggerated_diffMorph___3	3	1	5.0	0.5	typeTokenInput_exaggerated_diffMorph	-0.0007597220439596437	6.970537587457318e-08	0.4100000000000002	0	0.4100000000000002	0	0.3989121211516302	0.22
1_5.0_05_50_diffMorph___1	1	1	5.0	0.5	typeTokenInput_50_diffMorph	-0.0007203726522640215	4.545249204681217e-08	0.15	0	0.15	0	0.46257015465625045	0.5
1_5.0_05_50_diffMorph___2	2	1	5.0	0.5	typeTokenInput_50_diffMorph	-0.0007944040803640195	5.3011711342123075e-08	0.09	0.060000000000000005	0.09	0.060000000000000005	0.4925005624493796	0.5
1_5.0_05_50_diffMorph___3	3	1	5.0	0.5	typeTokenInput_50_diffMorph	-0.0008091590109616247	5.4826130568704134e-08	0.05	0.04	0.05	0.04	0.497500020833125	0.5
1_5.0_05_37pt5_diffMorph___1	1	1	5.0	0.5	typeTokenInput_37pt5_diffMorph	-0.0006796670710548127	4.056551790976271e-08	0.18000000000000002	0.03	0.18000000000000002	0.03	0.4625701546562504	0.45
1_5.0_05_37pt5_diffMorph___2	2	1	5.0	0.5	typeTokenInput_37pt5_diffMorph	-0.0007816319808153432	5.471197485591208e-08	0.18000000000000002	0.01	0.18000000000000002	0.01	0.457602059225649	0.45
1_5.0_05_37pt5_diffMorph___3	3	1	5.0	0.5	typeTokenInput_37pt5_diffMorph	-0.0007837727528565284	5.28568470008923e-08	0.11999999999999998	0	0.11999999999999998	0	0.4700359482354283	0.45
1_5.0_05_25_diffMorph___1	1	1	5.0	0.5	typeTokenInput_25_diffMorph	-0.0006781568747555249	4.5003810919292265e-08	0.2700000000000001	0	0.2700000000000001	0	0.4329070950345456	0.3
1_5.0_05_25_diffMorph___2	2	1	5.0	0.5	typeTokenInput_25_diffMorph	-0.0006715003553016207	3.892631644039908e-08	0.2700000000000001	0.03	0.2700000000000001	0.03	0.44028635073280703	0.3
