agree-back-local	agree-front-rounded-nonlocal	agree-front-rounded-local	agree-back-nonlocal	agree-front-local	agree-nonhigh-front-local	agree-low-front-local	agree-double-front-local	use-front-bilabial	use-front-coronal-sonorant	use-front-sibilant	use-front-cc	use-back-monosyll-i
2.9199999999999817	0.8100000000000005	0.49000000000000027	3.559999999999968	1.340000000000001	1.6200000000000012	1.9900000000000013	1.400000000000001	0.3300000000000001	0	0.38000000000000017	0.7100000000000004	0.10999999999999999
3.1999999999999758	1.1600000000000008	0.7000000000000004	3.8799999999999613	1.1000000000000008	1.6700000000000013	2.4099999999999926	1.270000000000001	0.5800000000000003	0	0.7100000000000004	1.0700000000000007	0.04
3.3399999999999728	1.370000000000001	0.8200000000000005	4.009999999999959	0.8500000000000005	1.6800000000000013	2.7499999999999853	1.310000000000001	0.8900000000000006	0.01	0.9400000000000006	1.370000000000001	0.01
3.3899999999999717	1.6400000000000012	0.9500000000000006	4.019999999999959	0.8500000000000005	1.7900000000000014	2.7399999999999856	1.450000000000001	1.0800000000000007	0	1.0500000000000007	1.6400000000000012	0.060000000000000005
3.3899999999999717	1.8000000000000014	1.0600000000000007	4.0299999999999585	0.5200000000000002	1.8700000000000014	2.6999999999999864	1.470000000000001	1.1500000000000008	0.02	1.0500000000000007	1.7000000000000013	0.21000000000000005
3.569999999999968	1.9700000000000015	1.1800000000000008	4.039999999999958	0.17999999999999994	1.9900000000000013	2.9899999999999802	1.6700000000000013	1.2000000000000008	0	1.2500000000000009	1.7500000000000013	0.24000000000000005
3.7299999999999645	2.1199999999999988	1.2300000000000009	3.8899999999999615	0.15	2.149999999999998	3.049999999999979	1.7500000000000013	1.2500000000000009	0.009999999999999997	1.320000000000001	1.8400000000000014	0.23000000000000004
3.709999999999965	2.199999999999997	1.270000000000001	3.869999999999962	0.03	1.9400000000000013	3.189999999999976	1.5400000000000011	1.360000000000001	0	1.390000000000001	1.7100000000000013	0.23000000000000004
3.849999999999962	2.3299999999999943	1.300000000000001	3.8399999999999626	0.04	2.0000000000000013	3.3499999999999726	1.500000000000001	1.310000000000001	0	1.320000000000001	1.8200000000000014	0.21000000000000002
3.839999999999962	2.489999999999991	1.360000000000001	3.859999999999962	0.019999999999999997	2.010000000000001	3.3099999999999734	1.460000000000001	1.300000000000001	0.009999999999999997	1.330000000000001	1.8800000000000014	0.19
